hostname,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,time
scn-GE72-2QD,2.98,2.86,3.2,2.88,3.03,3.23,1.86,1.98,04/24/2017 18:21:11
scn-GE72-2QD,3.03,2.87,3.22,2.91,3.05,3.23,1.88,1.99,04/24/2017 18:21:16
scn-GE72-2QD,3.03,2.89,3.22,2.91,3.05,3.26,1.88,1.99,04/24/2017 18:21:21
scn-GE72-2QD,3.03,2.88,3.22,2.9,3.04,3.25,1.88,1.98,04/24/2017 18:21:26
scn-GE72-2QD,3.03,2.87,3.22,2.89,3.04,3.23,1.88,1.97,04/24/2017 18:21:31
scn-GE72-2QD,3.02,2.86,3.21,2.89,3.02,3.22,1.87,1.96,04/24/2017 18:21:36
scn-GE72-2QD,3.01,2.86,3.2,2.88,3.01,3.2,1.86,1.97,04/24/2017 18:21:41
scn-GE72-2QD,3,2.84,3.18,2.88,3.01,3.19,1.85,1.96,04/24/2017 18:21:46
scn-GE72-2QD,3,2.84,3.18,2.87,3,3.18,1.85,1.95,04/24/2017 18:21:51
scn-GE72-2QD,3,2.83,3.17,2.86,2.99,3.17,1.85,1.95,04/24/2017 18:21:56
scn-GE72-2QD,2.99,2.82,3.16,2.86,3.03,3.16,1.85,1.94,04/24/2017 18:22:01
scn-GE72-2QD,2.98,2.82,3.16,2.85,3.01,3.16,1.84,1.94,04/24/2017 18:22:06
scn-GE72-2QD,2.97,2.81,3.15,2.84,3,3.15,1.84,1.93,04/24/2017 18:22:11
scn-GE72-2QD,2.96,2.81,3.14,2.84,3,3.18,1.84,1.96,04/24/2017 18:22:16
scn-GE72-2QD,2.96,2.81,3.15,2.85,3,3.19,1.84,1.95,04/24/2017 18:22:21
scn-GE72-2QD,2.95,2.8,3.15,2.84,2.99,3.18,1.83,1.96,04/24/2017 18:22:26
scn-GE72-2QD,2.93,2.79,3.13,2.83,2.97,3.16,1.82,1.95,04/24/2017 18:22:31
scn-GE72-2QD,2.92,2.78,3.12,2.83,2.96,3.15,1.81,1.94,04/24/2017 18:22:36
scn-GE72-2QD,2.91,2.77,3.11,2.81,2.95,3.13,1.81,1.93,04/24/2017 18:22:41
scn-GE72-2QD,2.9,2.76,3.1,2.81,2.95,3.12,1.8,1.93,04/24/2017 18:22:46
scn-GE72-2QD,2.89,2.75,3.08,2.8,2.93,3.11,1.8,1.92,04/24/2017 18:22:51
scn-GE72-2QD,2.91,2.75,3.08,2.8,2.94,3.1,1.79,1.91,04/24/2017 18:22:56
scn-GE72-2QD,2.9,2.74,3.09,2.79,2.93,3.36,1.78,1.91,04/24/2017 18:23:01
scn-GE72-2QD,2.89,2.82,3.08,2.78,2.92,3.74,1.78,1.9,04/24/2017 18:23:06
scn-GE72-2QD,2.91,2.98,3.11,2.81,2.96,3.8,1.8,1.92,04/24/2017 18:23:11
scn-GE72-2QD,2.9,2.98,3.11,2.81,2.96,3.78,1.81,1.92,04/24/2017 18:23:16
scn-GE72-2QD,2.92,2.99,3.15,2.82,2.96,3.78,1.81,1.92,04/24/2017 18:23:21
scn-GE72-2QD,2.94,3.03,3.19,2.87,3.06,3.79,1.83,1.94,04/24/2017 18:23:26
scn-GE72-2QD,2.94,3.05,3.19,2.87,3.06,3.79,1.84,1.94,04/24/2017 18:23:31
scn-GE72-2QD,2.96,3.05,3.18,2.87,3.05,3.77,1.83,1.94,04/24/2017 18:23:36
scn-GE72-2QD,2.97,3.04,3.18,2.88,3.04,3.76,1.83,1.93,04/24/2017 18:23:41
scn-GE72-2QD,2.97,3.05,3.17,2.87,3.03,3.75,1.83,1.93,04/24/2017 18:23:46
scn-GE72-2QD,2.97,3.05,3.17,2.87,3.02,3.73,1.83,1.93,04/24/2017 18:23:51
scn-GE72-2QD,2.97,3.04,3.16,2.86,3.01,3.72,1.83,1.92,04/24/2017 18:23:56
scn-GE72-2QD,2.97,3.04,3.15,2.86,3,3.72,1.83,1.91,04/24/2017 18:24:01
scn-GE72-2QD,2.98,3.03,3.15,2.86,2.99,3.72,1.82,1.91,04/24/2017 18:24:06
scn-GE72-2QD,2.98,3.04,3.14,2.85,2.98,3.7,1.81,1.9,04/24/2017 18:24:11
scn-GE72-2QD,2.98,3.03,3.14,2.86,2.97,3.69,1.81,1.89,04/24/2017 18:24:16
scn-GE72-2QD,2.97,3.03,3.14,2.85,2.96,3.67,1.81,1.89,04/24/2017 18:24:21
scn-GE72-2QD,2.97,3.04,3.13,2.85,2.95,3.66,1.8,1.89,04/24/2017 18:24:26
scn-GE72-2QD,2.98,3.04,3.14,2.85,2.94,3.65,1.8,1.89,04/24/2017 18:24:31
scn-GE72-2QD,2.98,3.05,3.14,2.86,2.94,3.66,1.8,1.88,04/24/2017 18:24:36
scn-GE72-2QD,2.99,3.05,3.14,2.86,2.93,3.66,1.79,1.88,04/24/2017 18:24:41
scn-GE72-2QD,3,3.04,3.13,2.87,2.93,3.66,1.79,1.87,04/24/2017 18:24:46
scn-GE72-2QD,2.99,3.04,3.13,2.87,2.93,3.64,1.78,1.86,04/24/2017 18:24:51
scn-GE72-2QD,2.99,3.04,3.13,2.88,2.92,3.64,1.77,1.86,04/24/2017 18:24:56
scn-GE72-2QD,2.99,3.03,3.12,2.87,2.91,3.62,1.77,1.85,04/24/2017 18:25:01
scn-GE72-2QD,2.98,3.03,3.11,2.86,2.9,3.61,1.77,1.85,04/24/2017 18:25:06
scn-GE72-2QD,2.98,3.03,3.11,2.86,2.89,3.6,1.77,1.84,04/24/2017 18:25:11
scn-GE72-2QD,2.97,3.03,3.1,2.86,2.88,3.58,1.77,1.84,04/24/2017 18:25:16
scn-GE72-2QD,2.97,3.02,3.1,2.85,2.87,3.57,1.77,1.83,04/24/2017 18:25:21
scn-GE72-2QD,2.97,3.02,3.09,2.85,2.86,3.56,1.76,1.83,04/24/2017 18:25:26
scn-GE72-2QD,2.96,3.02,3.09,2.86,2.84,3.54,1.75,1.83,04/24/2017 18:25:31
scn-GE72-2QD,2.96,3.01,3.08,2.85,2.84,3.53,1.76,1.83,04/24/2017 18:25:36
scn-GE72-2QD,2.96,3.01,3.08,2.85,2.83,3.51,1.75,1.82,04/24/2017 18:25:41
scn-GE72-2QD,2.95,3.01,3.07,2.85,2.83,3.51,1.75,1.81,04/24/2017 18:25:46
scn-GE72-2QD,2.96,3,3.07,2.85,2.82,3.5,1.74,1.81,04/24/2017 18:25:51
scn-GE72-2QD,2.96,3,3.06,2.85,2.81,3.49,1.74,1.81,04/24/2017 18:25:56
scn-GE72-2QD,2.96,3,3.06,2.84,2.8,3.47,1.73,1.8,04/24/2017 18:26:01
scn-GE72-2QD,2.95,3,3.05,2.84,2.79,3.46,1.74,1.8,04/24/2017 18:26:06
scn-GE72-2QD,2.95,3,3.07,2.83,2.78,3.45,1.73,1.79,04/24/2017 18:26:11
scn-GE72-2QD,2.94,2.99,3.4,2.82,2.77,3.44,1.76,1.79,04/24/2017 18:26:16
scn-GE72-2QD,2.93,2.98,3.39,2.82,2.76,3.43,2.11,1.78,04/24/2017 18:26:21
scn-GE72-2QD,2.93,2.97,3.38,2.81,2.75,3.42,2.46,1.78,04/24/2017 18:26:26
scn-GE72-2QD,2.92,2.97,3.37,2.8,2.74,3.4,2.81,1.77,04/24/2017 18:26:31
scn-GE72-2QD,2.92,2.96,3.36,2.8,2.74,3.46,2.94,1.77,04/24/2017 18:26:36
scn-GE72-2QD,2.91,2.95,3.34,2.79,2.73,3.45,2.93,1.77,04/24/2017 18:26:41
scn-GE72-2QD,2.9,2.94,3.33,2.78,2.72,3.43,2.93,1.77,04/24/2017 18:26:46
scn-GE72-2QD,2.89,2.93,3.32,2.77,2.72,3.42,2.93,1.76,04/24/2017 18:26:51
scn-GE72-2QD,2.88,2.92,3.31,2.76,2.71,3.41,2.92,1.76,04/24/2017 18:26:56
scn-GE72-2QD,2.87,2.91,3.3,2.75,2.7,3.4,2.92,1.75,04/24/2017 18:27:01
scn-GE72-2QD,2.86,2.9,3.29,2.75,2.69,3.39,2.92,1.74,04/24/2017 18:27:06
scn-GE72-2QD,2.85,2.9,3.28,2.74,2.68,3.37,2.91,1.74,04/24/2017 18:27:11
scn-GE72-2QD,2.84,2.89,3.27,2.73,2.67,3.36,2.91,1.73,04/24/2017 18:27:16
scn-GE72-2QD,2.83,2.88,3.26,2.72,2.66,3.35,2.9,1.73,04/24/2017 18:27:21
scn-GE72-2QD,2.83,2.87,3.25,2.71,2.65,3.34,2.9,1.72,04/24/2017 18:27:26
scn-GE72-2QD,2.82,2.87,3.24,2.71,2.64,3.33,2.89,1.72,04/24/2017 18:27:31
scn-GE72-2QD,2.81,2.87,3.23,2.7,2.63,3.31,2.88,1.71,04/24/2017 18:27:36
scn-GE72-2QD,2.8,2.86,3.22,2.69,2.63,3.3,2.87,1.7,04/24/2017 18:27:41
scn-GE72-2QD,2.79,2.85,3.21,2.68,2.63,3.29,2.87,1.7,04/24/2017 18:27:46
scn-GE72-2QD,2.78,2.84,3.2,2.67,2.62,3.28,2.86,1.69,04/24/2017 18:27:52
scn-GE72-2QD,2.78,2.83,3.19,2.67,2.62,3.27,2.85,1.69,04/24/2017 18:27:57
